Date,Bonds - Global Governments,Bonds - UK Corporate,Bonds - UK Government All Stocks,Bonds - UK Government Long Duration,Commodities - Gold,Commodities - Natural Resources,Equities - Emerging Markets,Equities - Global Large Cap,Equities - Global Small Cap,Equities - UK Large Cap,Equities - UK Mid Cap,Property
07/09/2011,1.004681648,0.999052133,1,0.990396056,1.013824885,1.028964274,1.025911708,1.02877429,1.035502959,1.015873016,1.008547009,1.024842149
08/09/2011,1.000931966,1.000948767,1.002924148,1.00248863,1.005113636,1.015662651,1.000935454,1.003087541,0.985535714,1.0234375,1.016949153,1.014038986
09/09/2011,0.996275605,1,1.001166249,1.015665126,1.011871114,0.991264963,0.998130841,0.985334058,0.98342091,0.984732824,0.991666667,0.989940239
12/09/2011,1.005607477,1.001895735,1.008794921,1.00952381,0.981564246,0.955613577,0.965355805,0.984748254,0.99705205,0.96124031,0.966386555,0.963275983
13/09/2011,1.000929368,0.997161779,1.000577367,0.99908165,0.977803073,1.003301457,0.994180407,1.007277477,1.014506144,1,1,1.005431377
14/09/2011,1.002785515,0.996204934,0.997691864,0.996072533,1.006402794,1.023941904,1.004878049,1.002964061,1.012568306,1.032258065,1.017391304,1.005817577
15/09/2011,0.999074074,0.993333333,0.991266628,0.985402685,0.993059572,1.012189716,1.006796117,1.021980052,1.012862026,1.015625,1.017094017,1.007023342
16/09/2011,1.001853568,1.001917546,1,1.006725694,0.994175888,1.008430042,1.008678881,1.015362371,1.007104165,1.007692308,1.008403361,1.014153846
19/09/2011,1.004625347,1.007655502,1.00939378,1.013107822,1.005858231,0.980023884,0.98374761,0.98255607,0.992064192,0.977099237,0.983333333,0.991605987
20/09/2011,1.003683241,0.999050332,1.000578035,0.999081803,0.999417589,1.006979063,1.000971817,1.005072464,0.987023376,1.015625,1.008474576,1
21/09/2011,1.002752294,0.998098859,0.995898325,0.989723452,1.023310023,0.988228823,0.996116505,1.006488825,0.98289059,1,1,0.999286079
22/09/2011,1.015553522,1.002857143,1.007599049,1.019247003,0.962984055,0.939441167,0.95214425,0.954154728,0.975355016,0.946153846,0.957983193,0.952643397
23/09/2011,1.001801802,1.000949668,1.004605642,1.001822097,0.942637493,0.965043252,0.964274747,0.992867868,0.997557768,0.983739837,0.98245614,0.98928648
26/09/2011,0.991906475,0.992409867,0.993696275,0.992559524,0.952321205,1.004052063,1.004564756,0.996597353,0.99905838,1.033057851,1.017857143,1.005306476
27/09/2011,0.992747053,0.993307839,0.99071511,0.982841912,1.024374177,1.030084383,1.031279721,1.038694992,1.019038643,1.016,1.01754386,1.017128084
28/09/2011,0.99543379,1.000962464,1,1.00720339,0.990996785,1.005698682,1.00215186,1.000182615,0.981871994,1.015748031,1.00862069,1.003389112
29/09/2011,1,1.003846154,1.004074742,0.996802692,0.963659961,0.966828001,0.991615542,0.993427059,1.006028636,0.984496124,0.982905983,0.991239181
30/09/2011,1.000917431,1,1,1.015362539,0.98989899,0.984371184,0.986801402,0.983091344,0.983146067,0.984251969,0.982608696,0.995740603
